sampleName,sampleClass,featureName,featureClass,mzCenter,rtCenter,integratedIntensity,startRT,endRT
MLMET0185,sample,L_Malic_Acid,met,133.014,732,8498195,707.78,730.25
MLMET0093,sample,L_Malic_Acid,met,133.014,732,3424592,707.92,730.38
MLMET0096,sample,L_Malic_Acid,met,133.014,732,43544530,708.16,730.63
MLMET0089,filter,L_Malic_Acid,met,133.014,732,482652,706.38,728.84
MLMET0160,sample,L_Malic_Acid,met,133.014,732,1175912,706.84,729.31
MLMET0165,sample,L_Malic_Acid,met,133.014,732,7668526,710,732.46
MLMET0094,sample,L_Malic_Acid,met,133.014,732,45635231,710.27,732.74
MLMET0135,filter,L_Malic_Acid,met,133.014,732,197253,707.83,730.29
MLMET0119,sample,L_Malic_Acid,met,133.014,732,1759879,707.37,729.84
MLMET0163,sample,L_Malic_Acid,met,133.014,732,3758477,709.56,732.03
MLMET0068,sample,L_Malic_Acid,met,133.014,732,7637802,709.44,731.91
MLMET0164,sample,L_Malic_Acid,met,133.014,732,1903003,708.33,730.79
MLMET0187,sample,L_Malic_Acid,met,133.014,732,9473417,708.23,730.69
MLMET0097,sample,L_Malic_Acid,met,133.014,732,9478937,711.81,734.27
MLMET0118,sample,L_Malic_Acid,met,133.014,732,25756533,711.49,733.96
MLMET0117,filter,L_Malic_Acid,met,133.014,732,931028,708.73,731.2
MLMET0180,sample,L_Malic_Acid,met,133.014,732,5922013,708.58,731.05
MLMET0073,sample,L_Malic_Acid,met,133.014,732,17964675,710.63,733.09
MLMET0138,sample,L_Malic_Acid,met,133.014,732,563921,710.35,732.82
MLMET0070,sample,L_Malic_Acid,met,133.014,732,5001509,708.62,731.09
MLMET0139,sample,L_Malic_Acid,met,133.014,732,488587,708.6,731.07
MLMET0098,sample,L_Malic_Acid,met,133.014,732,71555439,709.02,731.48
MLMET0095,sample,L_Malic_Acid,met,133.014,732,148560130,709.2,731.67
MLMET0075,sample,L_Malic_Acid,met,133.014,732,19989101,707.99,730.46
MLMET0071,sample,L_Malic_Acid,met,133.014,732,74661270,708,730.47
RCY308_control-r001,control,L_Malic_Acid,met,133.014,732,3648654,710.66,733.13
MLMET0141,sample,L_Malic_Acid,met,133.014,732,1010247,710.67,733.14
MLMET0069,sample,L_Malic_Acid,met,133.014,732,8011434,707.27,729.74
MLMET0178,filter,L_Malic_Acid,met,133.014,732,165324,707.16,729.63
MLMET0140,sample,L_Malic_Acid,met,133.014,732,1909309,710.35,732.81
MLMET0137,sample,L_Malic_Acid,met,133.014,732,639942,709.94,732.41
MLMET0167,sample,L_Malic_Acid,met,133.014,732,7870934,708.06,730.53
MLMET0136,sample,L_Malic_Acid,met,133.014,732,4054551,708.04,730.51
MLMET0072,sample,L_Malic_Acid,met,133.014,732,28038310,709.81,732.28
